,Open,High,Low,Close,TotalVolume
2018-02-01,360.75,362.0,358.5,361.5,240810
2018-02-02,361.0,362.5,359.5,361.0,184286
2018-02-05,359.5,360.75,357.25,358.75,244763
2018-02-06,358.75,364.0,356.25,363.5,220365
2018-02-07,363.75,365.75,362.5,365.0,457490
2018-02-08,365.0,367.75,364.5,364.75,300229
2018-02-09,364.75,365.5,361.5,362.0,232025
2018-02-12,365.0,367.0,364.25,366.75,236984
2018-02-13,366.5,368.5,366.0,366.5,233614
2018-02-14,366.5,368.5,364.75,366.75,156344
2018-02-15,367.0,368.75,365.5,368.25,174287
2018-02-16,368.0,368.5,366.5,367.25,172418
2018-02-20,369.0,370.0,365.25,365.5,292210
2018-02-21,365.75,368.5,364.25,365.5,205502
2018-02-22,365.5,367.0,364.25,366.75,194582
2018-02-23,366.25,367.75,365.25,366.25,181599
2018-02-26,366.5,370.0,366.5,368.5,283810
2018-02-27,377.0,379.5,376.5,379.25,289640
2018-02-28,379.0,384.75,378.25,381.25,283567
2018-03-01,381.5,386.5,379.5,386.25,270598
2018-03-02,385.75,388.0,383.5,384.75,239506
2018-03-05,385.0,387.5,384.0,387.0,138079
2018-03-06,386.5,388.5,385.5,387.75,147224
2018-03-07,387.75,389.0,386.75,386.75,160023
2018-03-08,386.25,393.75,385.75,393.25,255001
2018-03-09,392.75,393.25,389.75,390.75,243402
2018-03-12,389.5,391.25,387.0,390.0,176440
2018-03-13,390.0,395.25,389.75,391.75,192521
2018-03-14,391.0,393.25,388.0,388.5,173840
2018-03-15,388.25,390.75,385.5,386.75,169263
2018-03-16,386.25,387.5,382.5,382.75,142888
2018-03-19,382.0,382.0,374.75,375.75,228921
2018-03-20,375.25,377.0,373.25,374.5,192214
2018-03-21,375.0,375.75,373.75,375.0,140380
2018-03-22,375.5,377.5,374.0,376.0,148380
2018-03-23,376.25,378.25,369.25,377.0,262673
2018-03-26,378.5,380.75,373.5,374.25,166438
2018-03-27,374.0,376.0,372.25,374.0,116401
2018-03-28,374.25,375.0,372.0,373.25,144764
2018-03-29,373.75,389.25,373.75,387.75,354804
2018-04-02,389.25,392.5,387.0,387.5,184650
2018-04-03,387.0,392.0,386.75,388.0,183381
2018-04-04,388.0,389.0,372.0,380.5,346763
2018-04-05,382.0,389.5,380.75,389.25,245265
2018-04-06,382.0,390.0,382.0,388.75,285284
2018-04-09,389.75,392.5,388.75,390.75,188115
2018-04-10,390.0,392.25,388.5,389.75,250247
2018-04-11,389.25,390.5,385.75,386.75,134423
2018-04-12,386.5,389.25,385.0,388.5,179867
2018-04-13,388.5,389.25,385.0,385.25,215301
2018-04-16,385.0,386.25,382.0,382.5,158133
2018-04-17,383.0,384.5,379.75,380.25,219351
